File,Variable,Description,Units
seafloor_1m,distance,1 meter from reef,m
seafloor_1m,xy_int,,
seafloor_20m,timestep,,
seafloor_20m,ag_biomass,,
seafloor_20m,bg_biomass,,
seafloor_20m,ag_production,,
seafloor_20m,bg_production,,
seafloor_20m,distance,20 meters from reef,m
seafloor_20m,xy_int,,
Syrdata,CoreID,Reef_Transect_Distance_Core,
Syrdata,Reef,Reef name; all are YM; number is block; letter is treatment,
Syrdata,Transect,"1, 2, or 3 depending on order of sample collection",
Syrdata,Distance,1 or 20 meters from reef,m
Syrdata,Core,"Replicate (1, 2, or 3)",
Syrdata,Species,Syringodium filiforme,
Syrdata,Tin,Tin used for weighing,
Syrdata,Contents,"Part of plant (blades, rhizomes, roots)",
Syrdata,Dry_weight,Dry weight of subsample in this row,g
